DET	MEM
IND	ATL
GSW	OKC
LAC	LAL
PHI	NOP
CHI	BOS
CHA	ORL
MIA	MIN
MIL	HOU
DAL	CLE
UTA	DEN
PHX	NYK
POR	LAL
SAC	SAS
IND	WAS
PHI	DET
TOR	MEM
DEN	BKN
UTA	HOU
GSW	OKC
POR	SAS
BOS	MIA
LAC	NYK
CHA	NOP
CLE	DAL
ORL	MIN
DET	CHI
LAL	PHX
SAC	OKC
ATL	WAS
CLE	IND
MEM	NOP
SAS	MIL
GSW	UTA
POR	HOU
CHA	DEN
DET	MIN
BOS	MIA
TOR	LAC
IND	PHI
CHI	BKN
MEM	DAL
MIL	ORL
GSW	PHX
SAC	OKC
LAL	NYK
ATL	WAS
BKN	SAS
CLE	BOS
DAL	NOP
UTA	POR
LAL	HOU
CHA	LAC
IND	MIL
NYK	SAS
ATL	ORL
MIA	PHI
MEM	SAC
CHI	TOR
MIN	DEN
PHX	POR
WAS	CLE
DET	DEN
PHI	ORL
OKC	UTA
MEM	SAC
DAL	TOR
HOU	LAC
GSW	NOP
BKN	CHI
IND	LAL
NYK	CHA
MIN	BOS
SAS	PHX
MIL	MIA
NYK	BOS
TOR	IND
WAS	CHA
SAS	PHX
GSW	MEM
ATL	HOU
BKN	CLE
PHI	ORL
DET	MIA
CHI	MIL
MIN	DAL
NOP	LAL
OKC	LAC
POR	DEN
SAC	UTA
BKN	GSW
LAL	LAC
CLE	CHA
IND	NYK
ORL	MIA
PHI	WAS
BOS	MIL
TOR	NOP
CHI	ATL
MEM	SAS
MIN	DET
DEN	SAC
POR	UTA
PHX	DAL
MIA	NOP
MIL	GSW
BOS	BKN
LAL	DAL
DEN	LAC
MEM	ATL
CHA	OKC
DET	CLE
WAS	ORL
NYK	PHI
CHI	IND
SAS	TOR
UTA	MIN
POR	HOU
SAC	PHX
LAC	DAL
CHA	BKN
WAS	ORL
NOP	SAS
CLE	PHI
NYK	MIL
IND	BOS
CHI	GSW
SAC	PHX
LAL	MIN
ATL	DET
BKN	MEM
OKC	UTA
DEN	HOU
LAL	POR
CLE	NYK
DET	GSW
IND	BOS
PHI	TOR
WAS	CHI
MIA	MIL
OKC	ORL
PHX	NOP
LAC	MIN
SAC	DEN
BOS	MEM
BKN	ATL
MIA	MIL
DAL	CHA
SAS	LAL
LAC	POR
IND	CLE
WAS	CHI
ORL	PHI
HOU	SAC
TOR	NYK
OKC	NOP
UTA	PHX
