"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2019-01-08","GSW","NYK","31:58",68,14,2,7,0.2857142857142857,3,12,0.25,0.25,1,0,4,3,6,0,0,0.3333333333333333,0.631578947368421,0.5204157894736842,0.34210526315789475,0.34210526315789475,0,1,0.14285714285714285,0,0,23.80952380952381
"2019-01-11","GSW","CHI","27:12",61,28,5,5,1,5,11,0.45454545454545453,0.45454545454545453,3,6,4,12,3,0.6,0.75,0.8,0.6875,0.5158,0.78125,0.7941176470588235,2,0,0,0,0,31.34328358208955
"2019-01-13","GSW","DAL","36:52",74,48,6,13,0.46153846153846156,11,19,0.5789473684210527,0.5789473684210527,3,6,6,21,12,0.5,0.5,0.6363636363636364,0.59375,0.5082953125,0.703125,0.7121212121212122,0,0,0,0,0,37.93103448275862
"2019-01-15","GSW","DEN","29:42",59,31,2,5,0.4,8,13,0.6153846153846154,0.6153846153846154,3,2,2,18,6,0.5,0.5,0.75,0.7222222222222222,0.5303166666666667,0.7777777777777778,0.7894736842105263,0,2,0.4,0,0,31.42857142857143
"2019-01-16","GSW","NOP","35:08",84,41,2,5,0.4,9,17,0.5294117647058824,0.5294117647058824,10,0,4,15,12,0,0,0.5555555555555556,0.7727272727272727,0.49682272727272725,0.7045454545454546,0.7592592592592593,0,0,0,0,0,31.52173913043478
"2019-01-18","GSW","LAC","33:03",73,28,7,8,0.875,3,11,0.2727272727272727,0.2727272727272727,5,8,6,6,3,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.5789473684210527,0.5511868421052631,0.6052631578947368,0.6428571428571429,0,0,0,0,0,28.94736842105263
"2019-01-21","GSW","LAL","30:08",68,11,1,2,0.5,2,10,0.2,0.2,3,0,2,6,0,0,0,1,0.8333333333333334,0.5348318181818181,0.3333333333333333,0.4230769230769231,0,0,0,0,0,17.333333333333332
"2019-01-24","GSW","WAS","35:28",78,38,12,16,0.75,2,8,0.25,0.25,8,6,18,6,0,0.25,0.25,1,0.3333333333333333,0.49343043478260873,0.625,0.7307692307692307,0,1,0.0625,0,0,34.11764705882353
"2019-01-26","GSW","BOS","38:04",82,24,1,3,0.3333333333333333,6,12,0.5,0.5,4,2,0,15,3,1,1,0.8333333333333334,0.8,0.5332666666666667,0.6666666666666666,0.7058823529411765,0,0,0,1,0.08333333333333333,19.78021978021978
"2019-01-28","GSW","IND","26:49",57,26,4,5,0.8,6,8,0.75,0.75,0,4,4,12,6,0.5,0.5,0.6666666666666666,0.6153846153846154,0.5302961538461538,1,1,0,0,0,0,0,24.242424242424242
"2019-01-31","GSW","PHI","38:12",78,41,4,9,0.4444444444444444,10,18,0.5555555555555556,0.5882352941176471,3,4,4,27,3,0.5,0.5,0.9,0.6666666666666666,0.5161307692307692,0.7037037037037037,0.7321428571428571,0,1,0.1111111111111111,1,0.05555555555555555,38.63636363636363
"2019-02-02","GSW","LAL","32:51",68,14,3,6,0.5,2,9,0.2222222222222222,0.2222222222222222,2,2,4,3,3,0.3333333333333333,0.3333333333333333,0.5,0.6,0.5104785714285714,0.4,0.4375,0,0,0,0,0,24
"2019-02-06","GSW","SAS","28:36",67,19,4,7,0.5714285714285714,3,5,0.6,0.6,2,6,2,9,0,0.75,0.75,1,0.4166666666666667,0.5379083333333333,0.7083333333333334,0.7307692307692307,0,0,0,1,0.2,21.91780821917808
"2019-02-08","GSW","PHX","35:33",74,20,3,6,0.5,3,11,0.2727272727272727,0.2727272727272727,5,2,4,6,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6470588235294118,0.5194911764705883,0.4411764705882353,0.5,0,0,0,0,0,26.82926829268293
"2019-02-10","GSW","MIA","36:26",73,25,4,8,0.5,5,10,0.5,0.5,2,2,6,9,6,0.25,0.25,0.6,0.5555555555555556,0.47622222222222216,0.6388888888888888,0.6578947368421053,0,1,0.125,0,0,26.25
"2019-02-12","GSW","UTA","36:10",74,24,3,5,0.6,5,14,0.35714285714285715,0.35714285714285715,3,4,2,12,3,0.6666666666666666,0.6666666666666666,0.8,0.7368421052631579,0.5164552631578947,0.5526315789473685,0.575,0,1,0.2,0,0,28.205128205128204
"2019-02-13","GSW","POR","32:37",65,32,5,10,0.5,5,14,0.35714285714285715,0.35714285714285715,7,6,4,9,6,0.6,0.6,0.6,0.5833333333333334,0.49600625,0.5208333333333334,0.5925925925925926,0,0,0,0,0,35.8974358974359
"2019-02-21","GSW","SAC","36:14",85,36,2,7,0.2857142857142857,10,16,0.625,0.625,2,2,2,18,12,0.5,0.5,0.6,0.6956521739130435,0.5111195652173913,0.7391304347826086,0.75,0,1,0.14285714285714285,0,0,29.34782608695652
"2019-02-23","GSW","HOU","35:42",80,25,4,7,0.5714285714285714,5,11,0.45454545454545453,0.45454545454545453,2,4,4,12,3,0.5,0.5,0.8,0.6111111111111112,0.5122388888888889,0.6388888888888888,0.6578947368421053,0,1,0.14285714285714285,1,0.09090909090909091,26.19047619047619
